"name,","online_order,","book_table,","rate,","votes,","phone,","location,","rest_type,","dish_liked,","cuisines,","approx_cost,","listed_in_type,","listed_in_city,","price_segment,",rating_category
Ovenstory Pizza,Yes,No,3.9,172,+91 7738383000,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery,Banashankari,Medium,Average
Faasos,Yes,No,4.2,415,+91 7700020020,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Delivery,Banashankari,Medium,Excellent
Behrouz Biryani,Yes,No,3.9,230,"+91 7022260661
+91 7022260662",Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery,Banashankari,Medium,Average
Szechuan Dragon,Yes,No,4.2,1647,"00 919663567711
+91 9916326323",Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery,Banashankari,Medium,Excellent
Empire Restaurant,Yes,No,4.4,4884,080 49653266,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari,Medium,Excellent
Chaatimes,Yes,No,3.8,133,+91 8884232233,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Delivery,Banashankari,Low,Average
McDonald's,Yes,No,3.9,286,"080 66000666
080 42005285",Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Delivery,Banashankari,Medium,Average
Domino's Pizza,Yes,No,3.9,540,"080 26710070
18602100000",Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Delivery,Banashankari,Medium,Average
Onesta,Yes,Yes,4.6,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Delivery,Banashankari,Medium,Excellent
Hotboxit,No,No,3.8,36,"+91 7026677677
+91 7026577577",Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,Delivery,Banashankari,Low,Average
Kitchen Garden,Yes,No,3.6,244,080 49652867,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,Delivery,Banashankari,Low,Average
Recipe,Yes,No,4,804,"+91 8043755256
+91 9886073774",Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari,Low,Excellent
Beijing Bites,Yes,No,3.7,679,"080 28606888
080 28606886",Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery,Banashankari,Medium,Average
Tasty Bytes,Yes,No,3.1,245,"+91 8553317408
+91 7899687127",Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari,Low,Average
Corner House Ice Cream,No,No,4.3,345,"080 26713965
+91 9845444155",Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery,Banashankari,Low,Excellent
Biryanis And More,Yes,No,4,618,"080 48542442
+91 7337271771",Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari,Medium,Excellent
Roving Feast,No,No,4,1047,"080 42024092
080 42274242",Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari,Low,Excellent
FreshMenu,Yes,No,3.9,627,080 40424242,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari,Low,Average
Wamama,Yes,Yes,4.2,354,"+91 8042111599
+91 8971818009",Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,Banashankari,Medium,Excellent
Peppy Peppers,No,No,4.2,244,"+91 8042297555
+91 7022455300",Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,Delivery,Banashankari,Medium,Excellent
Goa 0 Km,Yes,Yes,3.6,163,080 49653548,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari,Medium,Average
1947,No,Yes,4,808,"080 26791213
+91 9739989446",Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Delivery,Banashankari,Medium,Excellent
Kabab Magic,Yes,No,4.1,1720,080 26570381,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari,Low,Excellent
Gustoes Beer House,No,No,4.1,868,080 49653521,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari,High,Excellent
The Biryani Cafe,No,No,4.1,520,+91 7010846043,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Delivery,Banashankari,Low,Excellent
Rolls On Wheels,No,No,3.6,299,"+91 9071734101
+91 9071496800",Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery,Banashankari,Low,Average
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,"+91 9448305384
+91 9060079480",Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery,Banashankari,Low,Excellent
Upahar Sagar,No,No,3.8,39,"+91 9164571705
080 26760336",Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery,Banashankari,Low,Average
Frozen Bottle,Yes,No,4.2,146,080 48664811,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery,Banashankari,Low,Excellent
Meghana Foods,Yes,No,4.4,4401,080 49653564,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery,Banashankari,Medium,Excellent
Nandhini Deluxe,No,No,2.6,283,"080 26890011
080 26890033",Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery,Banashankari,Medium,Poor
Vi Ra's Bar and Restaurant,No,No,3.3,62,"+91 9845063930
+91 7411148111",Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery,Banashankari,Medium,Average
Chatar Patar,No,No,3.7,65,+91 7619353103,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery,Banashankari,Low,Average
Polar Bear,Yes,No,3.8,71,080 49652725,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari,Low,Average
Kidambi's Kitchen,No,No,3.5,52,"080 42112211
+91 9880412211",Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Delivery,Banashankari,Low,Average
Mane Thindi,No,No,3.7,130,+91 9964410276,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery,Banashankari,Low,Average
Floured-Baked With Love,No,No,3.8,45,"+91 9845552266
+91 9845552288",Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery,Banashankari,Low,Average
Bengaluru Coffee House,Yes,No,4.1,201,+91 9740180090,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari,Low,Excellent
Anna Kuteera,Yes,No,4,771,+91 9620009302,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery,Banashankari,Low,Excellent
Darbar,No,No,3,98,+91 8861271465,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery,Banashankari,Medium,Average
Sri Udupi Food Hub,Yes,Yes,4.1,175,+91 9916866033,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari,Medium,Excellent
House Of Kebabs,Yes,No,3.8,540,080 49653042,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari,Medium,Average
Roll N Rock,Yes,No,3.8,124,+91 9590941992,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari,Low,Average
BOX8- Desi Meals,Yes,No,4.1,340,022 33552698,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari,Medium,Excellent
KFC,Yes,No,3.8,505,080 33994444,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery,Banashankari,Low,Average
Roll Over,Yes,No,4.1,438,"+91 8884942976
+91 8884942900",Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari,Medium,Excellent
Imperial Restaurant,Yes,No,3.7,264,"+91 7338431313
080 26741313",Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari,Medium,Average
Wahab,Yes,No,3.7,97,+91 9845088001,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery,Banashankari,Low,Average
Canton,Yes,No,3.6,195,"080 41410069
+91 9611320069",Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery,Banashankari,Medium,Average
The Blue Wagon - Kitchen,Yes,No,4.6,228,"+91 8105485007
+91 8095904280",Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400,Delivery,Banashankari,Low,Excellent
Patio 805,Yes,Yes,4.1,364,+91 8884999805,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200,Delivery,Banashankari,High,Excellent
Lassi Corner,Yes,No,3.7,107,"+91 9972348689
+91 7204756477",Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150,Delivery,Banashankari,Low,Average
Sagar Deluxe,Yes,No,3.2,167,"080 32963232
+91 9620284767",Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari,Low,Average
Energy Addaa,Yes,No,4.2,64,080 49652857,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari,Medium,Excellent
Tandoori Knight,Yes,No,3,290,"+91 9035297404
+91 9731504721",Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari,Low,Average
Dev Sagar - Food Street,Yes,No,4.1,233,"+91 9886204745
0161 26624745",Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200,Delivery,Banashankari,Low,Excellent
Mitraa Da Pizza,Yes,No,3.8,115,"+91 7977809237
+91 7752956789",Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250,Delivery,Banashankari,Low,Average
Grazers,Yes,Yes,3.9,291,080 26650668,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari,Medium,Average
Shakes Theory,Yes,No,4.5,155,"+91 9886936896
+91 9620000463",Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300,Delivery,Banashankari,Low,Excellent
@Italy,Yes,No,4.1,305,"+91 7760579999
+91 7026557799",Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Delivery,Banashankari,Medium,Excellent
Old Mumbai Ice Cream,Yes,No,3.9,38,080 49652445,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Delivery,Banashankari,Low,Average
Donne Biriyani House,Yes,No,3.9,441,"+91 8197743537
080 26690642",Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari,Low,Average
Kedia's Fun Food,Yes,No,4.3,630,+91 8867769557,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery,Banashankari,Low,Excellent
Just Shawarma,Yes,No,3.9,160,+91 7676764422,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery,Banashankari,Low,Average
Mini Punjabi Dhaba,Yes,No,4.2,287,"+91 9845044074
+91 7406012344",Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery,Banashankari,Low,Excellent
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,"080 26724489
+91 7406048982",Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Delivery,Banashankari,Medium,Excellent
Gokul Veg,Yes,No,3.8,469,"+91 9980978388
080 26627612",Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Delivery,Banashankari,Medium,Average
Olive - Era,Yes,No,3.3,511,"080 42017174
080 42021219",Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari,Medium,Average
Gama Gama,Yes,No,3.9,264,"+91 9739946098
+91 9538433344",Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery,Banashankari,Low,Average
The Vintage Cafe,Yes,No,3,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Delivery,Banashankari,Low,Average
Pizza Hut,Yes,No,3.8,693,"080 39883988
080 26710999",Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750,Delivery,Banashankari,Medium,Average
Mangalore Pearl,Yes,No,3.8,242,"+91 8880888315
+91 9019966667",Jayanagar,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari,Medium,Average
Twiststick House,Yes,No,4.1,163,+91 9916538249,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari,Medium,Excellent
Cool Corner,Yes,No,4.2,191,080 26916505,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250,Delivery,Banashankari,Low,Excellent
Pizza Mane,Yes,No,3.5,32,+91 9886212159,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari,Low,Average
Dal Tadkaa,Yes,No,2.5,247,"080 26691763
+91 9620138000",Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,Delivery,Banashankari,Medium,Poor
Chutney Chang,Yes,Yes,4.1,2339,"080 22443007
+91 9901967373",Jayanagar,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",1500,Delivery,Banashankari,High,Excellent
Mystique Palate,Yes,No,4.1,337,"+91 9663313544
+91 9916685945",Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300,Delivery,Banashankari,Low,Excellent
Thamboola,Yes,No,3.9,135,"080 26711258
+91 9845154172",Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,Delivery,Banashankari,Medium,Average
Castle Rock,Yes,No,3.6,172,"080 42014000
+91 9845030125",Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700,Delivery,Banashankari,Medium,Average
Vietnamese Kitchen,Yes,No,3.6,105,"080 26697884
080 26697883",Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,Delivery,Banashankari,Medium,Average
Smacznego,Yes,No,4.2,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari,Medium,Excellent
Toscano,Yes,Yes,4.3,1129,"080 41558423
+91 7619320074",Jayanagar,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",1300,Delivery,Banashankari,High,Excellent
Stoned Monkey,Yes,No,4.3,860,"+91 9972710694
+91 9972710894",Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Delivery,Banashankari,Medium,Excellent
Central Jail Restaurant,Yes,No,3.8,412,"+91 7337886666
+91 8880004992",Jayanagar,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari,Medium,Average
Bella,Yes,Yes,3.9,142,"+91 8971285555
080 49709755",Jayanagar,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",1000,Delivery,Banashankari,High,Average
New Prashanth Hotel,Yes,No,3.6,143,"080 26530150
+91 8861190190",Jayanagar,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari,Medium,Average
