name,location,rest_type,online_order,book_table,rate,votes,approx_cost,cuisines,listed_in_type,listed_in_city,price_segment,rating_category
Sagar Deluxe,Kumaraswamy Layout,Quick Bites,Yes,No,3.2,167,300,"South Indian, North Indian, Chinese, Juices",Delivery,Banashankari,Medium,Average
Energy Addaa,Basavanagudi,Quick Bites,Yes,No,4.2,64,500,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",Delivery,Banashankari,Medium,Excellent
Tandoori Knight,Banashankari,Quick Bites,Yes,No,3.0,290,450,"North Indian, Chinese, Biryani, Kebab",Delivery,Banashankari,Medium,Average
Dev Sagar - Food Street,Basavanagudi,Quick Bites,Yes,No,4.1,233,200,Street Food,Delivery,Banashankari,Low,Excellent
Mitraa Da Pizza,Kumaraswamy Layout,Quick Bites,Yes,No,3.8,115,250,"Fast Food, Pizza",Delivery,Banashankari,Low,Average
Grazers,Jayanagar,Cafe,Yes,Yes,3.9,291,650,"Cafe, Burger, Continental, Italian, Desserts",Delivery,Banashankari,Medium,Average
Shakes Theory,Jayanagar,Beverage Shop,Yes,No,4.5,155,300,"Beverages, Sandwich",Delivery,Banashankari,Medium,Excellent
@Italy,Kumaraswamy Layout,Casual Dining,Yes,No,4.1,305,700,Italian,Delivery,Banashankari,Medium,Excellent
Old Mumbai Ice Cream,Banashankari,Dessert Parlor,Yes,No,3.9,38,150,Ice Cream,Delivery,Banashankari,Low,Average
Donne Biriyani House,Banashankari,Quick Bites,Yes,No,3.9,441,400,"South Indian, North Indian, Chinese, Biryani",Delivery,Banashankari,Medium,Average
Kedia's Fun Food,Jayanagar,Quick Bites,Yes,No,4.3,630,200,"North Indian, Street Food, Juices",Delivery,Banashankari,Low,Excellent
Just Shawarma,Kumaraswamy Layout,Quick Bites,Yes,No,3.9,160,300,Arabian,Delivery,Banashankari,Medium,Average
Mini Punjabi Dhaba,Banashankari,Quick Bites,Yes,No,4.2,287,350,North Indian,Delivery,Banashankari,Medium,Excellent
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,Yes,No,4.1,402,500,Cafe,Delivery,Banashankari,Medium,Excellent
Gokul Veg,Basavanagudi,Casual Dining,Yes,No,3.8,469,750,"North Indian, Chinese, Beverages",Delivery,Banashankari,High,Average
Olive - Era,Kumaraswamy Layout,Casual Dining,Yes,No,3.3,511,550,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",Delivery,Banashankari,Medium,Average
Gama Gama,Banashankari,Quick Bites,Yes,No,3.9,264,200,South Indian,Delivery,Banashankari,Low,Average
The Vintage Cafe,Banashankari,Cafe,Yes,No,3.0,62,400,"Cafe, French, North Indian",Delivery,Banashankari,Medium,Average
Pizza Hut,Banashankari,Casual Dining,Yes,No,3.8,693,750,"Pizza, Fast Food",Delivery,Banashankari,High,Average
Mangalore Pearl,Jayanagar,Casual Dining,Yes,No,3.8,242,650,"Mangalorean, Seafood, Chinese, Biryani",Delivery,Banashankari,Medium,Average
Twiststick House,Basavanagudi,Quick Bites,Yes,No,4.1,163,500,"Continental, Fast Food, Street Food, Momos",Delivery,Banashankari,Medium,Excellent
Cool Corner,Basavanagudi,Quick Bites,Yes,No,4.2,191,250,"Street Food, Fast Food",Delivery,Banashankari,Low,Excellent
Pizza Mane,Banashankari,Quick Bites,Yes,No,3.5,32,150,"Pizza, Sandwich, Burger, Fast Food",Delivery,Banashankari,Low,Average
Dal Tadkaa,Banashankari,Casual Dining,Yes,No,2.5,247,500,North Indian,Delivery,Banashankari,Medium,Poor
Chutney Chang,Jayanagar,Casual Dining,Yes,Yes,4.1,2339,1500,"North Indian, Chinese, BBQ",Delivery,Banashankari,High,Excellent
Mystique Palate,Jayanagar,Quick Bites,Yes,No,4.1,337,300,"Chinese, Fast Food",Delivery,Banashankari,Medium,Excellent
Thamboola,Banashankari,Casual Dining,Yes,No,3.9,135,800,"North Indian, Chinese, Continental",Delivery,Banashankari,High,Average
Castle Rock,Uttarahalli,Casual Dining,Yes,No,3.6,172,700,"North Indian, Chinese",Delivery,Banashankari,Medium,Average
Vietnamese Kitchen,Banashankari,Casual Dining,Yes,No,3.6,105,700,Vietnamese,Delivery,Banashankari,Medium,Average
Smacznego,Banashankari,Cafe,Yes,No,4.2,504,550,"Cafe, Mexican, Italian, Momos, Beverages",Delivery,Banashankari,Medium,Excellent
Toscano,Jayanagar,Casual Dining,Yes,Yes,4.3,1129,1300,"Italian, Salad",Delivery,Banashankari,High,Excellent
Stoned Monkey,Banashankari,Dessert Parlor,Yes,No,4.3,860,500,"Desserts, Ice Cream",Delivery,Banashankari,Medium,Excellent
Central Jail Restaurant,Jayanagar,Casual Dining,Yes,No,3.8,412,700,"Andhra, Seafood, North Indian, Chinese",Delivery,Banashankari,Medium,Average
Bella,Jayanagar,Casual Dining,Yes,Yes,3.9,142,1000,"Mangalorean, Seafood, South Indian",Delivery,Banashankari,High,Average
New Prashanth Hotel,Jayanagar,Casual Dining,Yes,No,3.6,143,750,"South Indian, Biryani, Chinese, North Indian",Delivery,Banashankari,High,Average
Karma Kaapi,Jayanagar,Beverage Shop,Yes,No,4.4,181,250,"Beverages, Tea",Delivery,Banashankari,Low,Excellent
Tiwari's,Jayanagar,Quick Bites,Yes,No,3.8,70,200,"North Indian, Street Food",Delivery,Banashankari,Low,Average
Pizza Stop,Basavanagudi,Quick Bites,Yes,No,3.8,164,600,"Pizza, Italian",Delivery,Banashankari,Medium,Average
Biggies Burger 'n' More,Kumaraswamy Layout,Quick Bites,Yes,No,3.6,58,650,"Cafe, Burger, Beverages",Delivery,Banashankari,Medium,Average
Srinathji's Cafe,Basavanagudi,"Casual Dining, Cafe",No,No,3.8,148,550,"North Indian, Cafe, Chinese, Fast Food",Delivery,Banashankari,Medium,Average
Kollapuri's,Basavanagudi,Quick Bites,No,No,3.9,206,450,"South Indian, Mangalorean",Delivery,Banashankari,Medium,Average
RS Shiv Sagar,Basavanagudi,Casual Dining,No,No,3.7,217,450,"North Indian, Chinese, South Indian, Fast Food, Juices",Delivery,Banashankari,Medium,Average
Harshi Super Sandwich,Basavanagudi,Quick Bites,No,No,3.8,148,150,"Fast Food, Street Food",Delivery,Banashankari,Low,Average
Ugadi,Jayanagar,Casual Dining,Yes,No,2.9,177,700,"North Indian, Chinese, Biryani, Andhra, Mangalorean",Delivery,Banashankari,Medium,Poor
Subway,Banashankari,Quick Bites,Yes,No,3.7,136,600,"Salad, Fast Food",Delivery,Banashankari,Medium,Average
The Lassi Park,Jayanagar,Quick Bites,Yes,No,4.1,185,200,"Juices, Desserts",Delivery,Banashankari,Low,Excellent
A2B - Adyar Ananda Bhavan,Mysore Road,Casual Dining,Yes,No,3.8,155,400,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,Medium,Average
Srikrishna Bhavan,Banashankari,Quick Bites,Yes,No,3.8,42,300,"South Indian, North Indian, Chinese",Delivery,Banashankari,Medium,Average
Timepass Dinner,Basavanagudi,Casual Dining,Yes,No,3.8,286,600,North Indian,Delivery,Banashankari,Medium,Average
Green Gardenia,Banashankari,Casual Dining,Yes,No,3.8,160,700,"North Indian, Chinese",Delivery,Banashankari,Medium,Average
J Spice,Banashankari,Casual Dining,Yes,No,3.8,59,750,"North Indian, Chinese",Delivery,Banashankari,High,Average
Hatti Kaapi,Jayanagar,Quick Bites,Yes,No,4.0,89,200,"South Indian, Beverages",Delivery,Banashankari,Low,Excellent
Upahara Darshini,Basavanagudi,Casual Dining,Yes,No,3.9,40,600,"North Indian, Chinese, South Indian, Fast Food",Delivery,Banashankari,Medium,Average
The Chaat Shop,Basavanagudi,Quick Bites,Yes,No,2.5,35,200,Fast Food,Delivery,Banashankari,Low,Poor
My Tea House,Banashankari,"Quick Bites, Cafe",Yes,No,3.6,62,600,"Italian, Fast Food, Cafe, European",Delivery,Banashankari,Medium,Average
Samskruti - Sanman Gardenia,Jayanagar,Casual Dining,Yes,No,4.1,139,550,"North Indian, Chinese, South Indian",Delivery,Banashankari,Medium,Excellent
Chumma Delicious,Banashankari,Quick Bites,Yes,No,3.7,237,200,"South Indian, Fast Food",Delivery,Banashankari,Low,Average
New Prashanth Hotel,Banashankari,Casual Dining,Yes,No,3.9,388,650,"Biryani, North Indian, Seafood, Andhra",Delivery,Banashankari,Medium,Average
Dwaraka Grand,Kumaraswamy Layout,Casual Dining,Yes,No,3.9,128,500,"South Indian, Chinese, Street Food, Juices",Delivery,Banashankari,Medium,Average
Gufha - The President Hotel,Jayanagar,Casual Dining,Yes,Yes,4.1,1875,1200,"North Indian, Afghani, Mughlai",Delivery,Banashankari,High,Excellent
Cafe Vivacity,Banashankari,Cafe,Yes,No,3.8,90,650,Cafe,Delivery,Banashankari,Medium,Average
Mojo Pizza - 2X Toppings,Banashankari,Delivery,Yes,No,4.2,179,600,Pizza,Delivery,Banashankari,Medium,Excellent
South Kitchen,Basavanagudi,Quick Bites,Yes,No,4.3,275,100,South Indian,Delivery,Banashankari,Low,Excellent
Chung Wah,Jayanagar,Casual Dining,Yes,No,3.7,323,850,"Chinese, Thai, Momos",Delivery,Banashankari,High,Average
Prems Graama Bhojanam,Jayanagar,Casual Dining,Yes,No,4.3,322,400,South Indian,Delivery,Banashankari,Medium,Excellent
Java City,Jayanagar,Cafe,Yes,No,2.6,157,450,"Cafe, American, Pizza",Delivery,Banashankari,Medium,Poor
Kamat Bugle Rock,Basavanagudi,Quick Bites,Yes,No,3.9,543,300,"South Indian, Fast Food",Delivery,Banashankari,Medium,Average
Woodee Pizza,Banashankari,Cafe,Yes,No,3.7,180,500,"Cafe, Pizza, Fast Food, Beverages",Delivery,Banashankari,Medium,Average
Puliyogare Point,Basavanagudi,Quick Bites,Yes,No,4.2,444,100,South Indian,Delivery,Banashankari,Low,Excellent
Bangalore Agarwal Bhavan,Jayanagar,Quick Bites,Yes,No,3.9,134,400,"Street Food, North Indian, South Indian",Delivery,Banashankari,Medium,Average
Rustic Stove,Jayanagar,Casual Dining,Yes,No,3.8,577,900,"North Indian, South Indian, Biryani, Beverages",Delivery,Banashankari,High,Average
De Thaali,Jayanagar,Casual Dining,Yes,No,3.9,144,550,"North Indian, Chinese, Rolls",Delivery,Banashankari,Medium,Average
Spice Elephant,Banashankari,Casual Dining,Yes,No,4.1,787,800,"Chinese, North Indian, Thai",Delivery,Banashankari,High,Excellent
Matru Sagar,Banashankari,Quick Bites,Yes,No,3.6,84,250,"South Indian, North Indian, Chinese",Delivery,Banashankari,Low,Average
Sea Spice by 7 Star,Banashankari,Casual Dining,Yes,Yes,4.0,349,1200,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",Delivery,Banashankari,High,Excellent
Desi Dawat,Kumaraswamy Layout,Quick Bites,Yes,No,3.7,248,400,"North Indian, Fast Food",Delivery,Banashankari,Medium,Average
Cafe Aira,Basavanagudi,Cafe,Yes,No,4.1,216,500,"Cafe, Continental, Beverages, Desserts",Delivery,Banashankari,Medium,Excellent
Penthouse Cafe,Banashankari,Cafe,Yes,No,4.0,324,700,"Cafe, Italian, Continental",Delivery,Banashankari,Medium,Excellent
Mast Punjabi,Kumaraswamy Layout,Quick Bites,Yes,No,2.6,231,400,"North Indian, Chinese, Rolls, Biryani, Kebab",Delivery,Banashankari,Medium,Poor
South Grand,Uttarahalli,Casual Dining,Yes,No,3.4,102,400,"South Indian, North Indian, Chinese, Beverages",Delivery,Banashankari,Medium,Average
Catch-up-ino,Banashankari,Cafe,Yes,No,3.9,133,800,"Cafe, Fast Food, Continental, Chinese, Momos",Delivery,Banashankari,High,Average
The Pizzeria,Banashankari,Casual Dining,Yes,No,2.8,45,800,"Pizza, Italian, Salad",Delivery,Banashankari,High,Poor
Ruchis Point,Banashankari,Quick Bites,Yes,No,3.8,75,200,"Fast Food, Chinese",Delivery,Banashankari,Low,Average
Firangi Bake,Rajarajeshwari Nagar,Delivery,Yes,No,4.0,53,600,"Mexican, Italian",Delivery,Banashankari,Medium,Excellent
The Royal Corner - Pai Viceroy,Jayanagar,Casual Dining,Yes,Yes,4.2,815,900,"North Indian, Chinese",Delivery,Banashankari,High,Excellent
Hara Fine Dine,Banashankari,Casual Dining,Yes,Yes,4.0,633,800,"North Indian, Chinese",Delivery,Banashankari,High,Excellent
Chocoberry,Jayanagar,Dessert Parlor,Yes,No,3.5,56,400,"Ice Cream, Desserts, Beverages",Delivery,Banashankari,Medium,Average
Waffle-A-Go Go,Banashankari,Dessert Parlor,Yes,No,3.9,70,400,"Fast Food, Desserts, Ice Cream",Delivery,Banashankari,Medium,Average
Cross Road Cafe,Jayanagar,Cafe,Yes,No,3.9,91,300,"Cafe, Fast Food, Chinese",Delivery,Banashankari,Medium,Average
Bakers Town,Kumaraswamy Layout,Cafe,Yes,No,3.8,77,650,"Cafe, Continental, Fast Food",Delivery,Banashankari,Medium,Average
Ivy,Kumaraswamy Layout,Casual Dining,Yes,No,3.8,210,600,"North Indian, Chinese, Fast Food",Delivery,Banashankari,Medium,Average
The Airos,Jayanagar,Cafe,Yes,No,4.1,130,650,"Cafe, Italian, Pizza",Delivery,Banashankari,Medium,Excellent
Chai Kraft,Jayanagar,Beverage Shop,Yes,No,4.1,30,100,"Beverages, Tea",Delivery,Banashankari,Low,Excellent
Kirthi's Biryani,Banashankari,Cafe,Yes,No,3.8,144,700,"Chinese, Cafe, Italian",Delivery,Banashankari,Medium,Average
The Trundle,Jayanagar,Casual Dining,Yes,No,3.7,133,700,"Chinese, Thai, Continental, North Indian",Delivery,Banashankari,Medium,Average
The Krishna Grand Xpress,Jayanagar,Quick Bites,Yes,No,4.0,136,350,"South Indian, Fast Food",Delivery,Banashankari,Medium,Excellent
Udupi Grand,Basavanagudi,Quick Bites,Yes,No,3.8,74,300,"South Indian, North Indian, Chinese",Delivery,Banashankari,Medium,Average
Little Cafe,Basavanagudi,Cafe,Yes,No,3.7,54,600,"Cafe, Beverages",Delivery,Banashankari,Medium,Average
1980s Games Cafe,Basavanagudi,Cafe,Yes,No,3.4,58,400,"Cafe, Fast Food",Delivery,Banashankari,Medium,Average
Kadala Tarangaa,Banashankari,Casual Dining,Yes,No,3.6,129,600,"Mangalorean, Seafood, North Indian",Delivery,Banashankari,Medium,Average
As On Fire,South Bangalore,Food Truck,Yes,No,3.5,41,400,"Pizza, Fast Food, BBQ",Delivery,Banashankari,Medium,Average
Curry Leaves,Basavanagudi,Casual Dining,Yes,No,4.1,176,800,"Andhra, North Indian, Chinese",Delivery,Banashankari,High,Excellent
Magic Meals,Jayanagar,"Quick Bites, Dessert Parlor",Yes,No,3.7,47,400,"Fast Food, Desserts, Beverages",Delivery,Banashankari,Medium,Average
Desi Cream Junction,Jayanagar,Casual Dining,Yes,Yes,3.7,36,650,"Chinese, North Indian, Pizza, Italian",Delivery,Banashankari,Medium,Average
Eat Repeat,Basavanagudi,Quick Bites,Yes,No,3.9,101,150,South Indian,Delivery,Banashankari,Low,Average
Salut,Jayanagar,"Pub, Casual Dining",Yes,Yes,4.1,442,1200,"Continental, Finger Food, Seafood, Pizza",Delivery,Banashankari,High,Excellent
Sandwich Mama's And Frozen Monster,Jayanagar,Quick Bites,Yes,No,3.8,53,250,"Ice Cream, Beverages, Fast Food",Delivery,Banashankari,Low,Average
Food Springs,Jayanagar,Quick Bites,Yes,No,4.0,232,400,"South Indian, Chinese",Delivery,Banashankari,Medium,Excellent
Chung's Chinese Corner,Jayanagar,Casual Dining,Yes,No,3.9,221,700,Chinese,Delivery,Banashankari,Medium,Average
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Casual Dining, Bar",Yes,Yes,4.1,1063,1200,"Italian, Fast Food, Salad, BBQ",Delivery,Banashankari,High,Excellent
Goli Vada Pav No. 1,Basavanagudi,Quick Bites,Yes,No,3.7,93,200,Street Food,Delivery,Banashankari,Low,Average
Ragoo's,Jayanagar,Casual Dining,Yes,No,3.9,233,800,"Italian, Pizza, North Indian, Salad",Delivery,Banashankari,High,Average
Pure & Natural,Jayanagar,Casual Dining,Yes,No,3.9,211,500,"Fast Food, Continental, Beverages, Salad, Healthy Food",Delivery,Banashankari,Medium,Average
Maiyas,Jayanagar,Quick Bites,Yes,No,4.0,1778,200,"North Indian, South Indian, Fast Food, Juices",Delivery,Banashankari,Low,Excellent
Sip n Dine,Vijay Nagar,Casual Dining,Yes,No,3.6,218,800,"North Indian, Chinese, South Indian",Delivery,Banashankari,High,Average
Cafe Mondo,Basavanagudi,Cafe,Yes,No,3.7,514,600,"Cafe, Italian, Beverages",Delivery,Banashankari,Medium,Average
Jalpaan,Jayanagar,Casual Dining,Yes,Yes,4.0,866,900,"North Indian, Continental",Delivery,Banashankari,High,Excellent
Kataria's Pakwan,Kumaraswamy Layout,Quick Bites,Yes,No,3.2,96,400,North Indian,Delivery,Banashankari,Medium,Average
